time_s,Fp,F3,F4,Cz,T3,T4,O1,O2
0.000000,6.3479,-16.8085,4.8280,-9.2983,-9.2983,22.7988,6.0797,5.0068
0.004000,4.2021,-18.3284,5.6326,-10.1924,5.4538,19.5801,9.9242,-7.5102
0.008000,0.8941,-22.0835,0.9835,-12.5170,12.2488,15.5568,1.0729,-14.4839
0.012000,1.4305,-30.3090,-2.5928,-9.4771,10.5500,11.2653,-2.9504,-11.9805
0.016000,8.1360,-27.0009,-6.6161,-0.5364,2.5928,12.7852,3.3975,-8.8513
0.020000,12.5170,-13.1428,-14.8416,-0.0894,6.9737,3.8445,14.6627,-10.1030
0.024000,17.4344,-2.3246,-8.3148,-11.4441,10.7288,-2.8610,27.0903,-8.5831
0.028000,18.0602,-5.0962,-1.9670,-16.9873,9.2089,-7.1526,23.8717,-4.7386
0.032000,22.9776,-14.8416,0.1788,-13.7687,0.4470,-9.1195,21.1000,5.6326
0.036000,35.6734,-15.5568,-2.6822,-14.4839,-2.9504,3.8445,19.8483,14.2157
0.040000,40.5014,-11.8017,-6.2585,-14.7521,0.1788,8.8513,26.1068,19.1331
0.044000,35.4052,-7.0632,-11.1759,-17.0767,13.2322,4.6492,27.8950,15.7356
0.048000,31.1136,-7.5996,-8.4043,-12.2488,18.2390,-1.8775,16.4509,8.7619
0.052000,24.4975,-11.8911,-12.1593,-3.0398,12.2488,-0.7153,5.0962,14.5733
0.056000,24.3187,-9.2983,-22.9776,9.9242,11.3547,6.0797,9.9242,15.8250
0.060000,22.2623,4.5598,-28.7890,12.6958,14.2157,4.9174,15.8250,15.8250
0.064000,15.4674,14.8416,-30.6666,13.5005,22.5306,-0.1788,22.6200,13.4110
0.068000,10.4606,15.1992,-28.8785,16.0038,23.0670,-2.4140,14.1263,16.8085
0.072000,9.0301,7.0632,-25.3022,17.8814,15.7356,-0.9835,3.8445,20.9212
0.076000,15.6462,7.3314,-27.0009,16.0038,4.2021,10.8182,0.0894,29.3255
0.080000,15.4674,8.9407,-24.2293,11.5335,6.1691,17.7920,8.4043,27.5373
0.084000,11.0865,9.1195,-15.6462,5.9009,16.7191,19.0437,5.2750,19.5801
0.088000,7.1526,3.5763,-8.2254,11.1759,22.6200,18.6861,-7.0632,5.0068
0.092000,2.9504,-10.3712,-6.7949,14.2157,18.8649,20.8318,-17.4344,5.1856
0.096000,-0.5364,-11.0865,-9.6560,12.8746,16.1827,29.2361,-20.7424,3.0398
0.100000,-7.1526,2.5034,-11.1759,9.6560,25.8386,25.4810,-7.2420,-14.0369
0.104000,-3.7551,6.7055,-5.7220,18.6861,31.3818,19.3119,-7.6890,-11.0865
0.108000,2.3246,-0.8047,-0.8941,21.9941,24.4081,16.8979,-11.6229,-2.8610
0.112000,5.9009,-3.3081,-3.3081,14.6627,13.4110,18.9543,-6.9737,-0.5364
0.116000,6.1691,4.5598,-2.1458,5.7220,3.5763,17.8814,4.2021,-6.4373
0.120000,11.8911,6.5267,2.7716,3.5763,4.5598,17.7026,10.2818,-14.0369
0.124000,15.2886,5.0962,11.8017,8.9407,4.0233,18.0602,8.2254,-13.6793
0.128000,19.4907,-6.2585,13.9475,7.9572,-3.1292,21.4577,-1.6987,-10.6394
0.132000,18.2390,-18.1496,14.0369,4.8280,-14.1263,30.8454,0.9835,-12.6958
0.136000,10.1030,-16.8979,7.1526,-0.1788,-18.8649,31.6501,9.9242,-21.6365
0.140000,3.7551,-16.4509,9.3877,4.6492,-9.6560,28.5208,16.0038,-34.2429
0.144000,3.1292,-20.2954,6.3479,8.7619,-5.4538,26.0174,15.2886,-32.9912
0.148000,3.4869,-21.6365,3.2187,14.8416,-12.1593,18.3284,10.2818,-21.3683
0.152000,8.0466,-21.1000,-4.1127,10.3712,-22.6200,17.2555,12.8746,-15.0204
0.156000,8.3148,-16.7191,-12.2488,-0.1788,-28.0738,16.8979,23.7823,-8.0466
0.160000,9.4771,-7.0632,-6.2585,-10.4606,-25.2128,16.0933,33.0806,-8.2254
0.164000,14.2157,-9.1195,-3.5763,-12.0699,-20.8318,12.9640,28.5208,-7.7784
0.168000,16.4509,-16.6297,-1.5199,-12.6064,-24.4975,19.0437,20.0272,2.5034
0.172000,20.0272,-21.9047,-5.9903,-19.0437,-25.5704,22.7094,16.2721,3.1292
0.176000,17.0767,-22.5306,-7.7784,-28.3420,-22.9776,24.5869,17.4344,-0.8941
0.180000,12.1593,-17.5238,-13.2322,-31.0242,-14.1263,21.1000,11.8017,-11.8017
0.184000,8.0466,-16.8085,-8.2254,-25.3022,2.3246,13.5899,-2.0564,-17.0767
0.188000,8.3148,-18.4178,-2.0564,-19.5801,12.7852,14.3945,-9.4771,-12.8746
0.192000,16.1827,-16.1827,-11.1759,-17.7920,4.6492,11.5335,-10.9971,-9.5665
0.196000,16.8979,-8.5831,-14.7521,-23.2458,2.5034,0.0894,-4.2021,-13.1428
