time_s,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8
0.000000,3.0398,-10.8182,-3.6657,-9.5665,-1.0729,30.3984,-11.0865,2.5034
0.004000,1.8775,-12.6064,-0.3576,-7.2420,11.3547,30.8454,-12.2488,-7.5996
0.008000,-1.7881,-14.5733,-4.0233,-7.8678,18.5966,27.3585,-19.3119,-16.5403
0.012000,-4.7386,-20.7424,-4.8280,-8.1360,21.9941,19.4907,-23.2458,-22.2623
0.016000,-3.1292,-19.6695,-3.4869,-2.0564,19.8483,15.9144,-22.6200,-25.0340
0.020000,0.9835,-11.2653,-5.3644,2.3246,24.2293,7.7784,-16.8085,-25.9280
0.024000,7.5996,-1.7881,0.8047,-1.2517,24.8551,2.3246,-4.8280,-22.8882
0.028000,8.8513,0.0894,3.7551,-5.6326,21.9047,-6.2585,0.7153,-21.4577
0.032000,10.4606,-5.4538,6.1691,-7.3314,15.8250,-17.2555,5.4538,-17.0767
0.036000,19.5801,-7.6890,9.2089,-9.5665,12.2488,-14.8416,7.3314,-10.0136
0.040000,27.7162,-7.5996,12.0699,-5.9009,8.5831,-11.4441,14.7521,2.5034
0.044000,30.3090,-3.6657,8.6725,-4.9174,8.7619,-11.8017,24.0505,11.1759
0.048000,29.3255,-1.2517,7.6890,-4.6492,5.8115,-16.4509,26.8221,10.9971
0.052000,20.7424,-3.9339,3.5763,-4.3809,-0.1788,-19.9378,25.9280,13.8581
0.056000,16.8979,-6.4373,-1.8775,5.0962,-0.5364,-16.0038,28.8785,15.6462
0.060000,17.0767,-1.8775,-4.5598,14.7521,-1.5199,-10.9076,28.5208,22.2623
0.064000,15.7356,4.9174,-11.5335,21.9941,-1.0729,-5.6326,33.7958,27.8056
0.068000,11.5335,9.9242,-20.5636,22.0835,-3.4869,-3.3975,32.9912,29.9513
0.072000,4.9174,9.5665,-26.4645,16.8085,-5.6326,-5.4538,28.2526,25.9280
0.076000,6.2585,9.7454,-28.7890,14.3051,-10.0136,0.6258,20.6530,27.7162
0.080000,10.9076,7.3314,-24.2293,16.3615,-9.0301,9.7454,18.9543,31.9183
0.084000,16.3615,7.1526,-19.4907,13.5005,-7.0632,19.4013,13.5005,34.9581
0.088000,18.9543,7.0632,-19.9378,9.0301,-7.0632,25.5704,7.7784,25.6598
0.092000,13.7687,0.0894,-21.3683,-1.3411,-6.7055,26.2856,0.7153,18.6861
0.096000,8.0466,-3.7551,-18.2390,-7.8678,0.4470,30.1301,-10.2818,9.2089
0.100000,6.5267,-11.1759,-10.6394,-4.6492,15.8250,40.7696,-25.1234,-4.1127
